"おはようございます","good morning","Romaji: ohayō gozaimasu; Use: morning greeting (polite); Example: おはようございます、せんせい。"
"こんにちは","hello","Romaji: konnichiwa; Use: daytime greeting; Example: こんにちは、はじめまして。"
"こんばんは","good evening","Romaji: konbanwa; Use: evening greeting; Example: こんばんは、きょうはさむいですね。"
"おやすみなさい","good night","Romaji: oyasumi nasai; Use: before sleeping; Example: おやすみなさい、またあした。"
"ありがとうございます","thank you (polite)","Romaji: arigatō gozaimasu; Use: polite thanks; Example: ありがとうございます、たすかりました。"
"どうもありがとうございます","thank you very much","Romaji: dōmo arigatō gozaimasu; Use: extra-polite thanks; Example: どうもありがとうございます。"
"ありがとう","thanks","Romaji: arigatō; Use: casual thanks; Example: きてくれて、ありがとう。"
"すみません","excuse me / sorry","Romaji: sumimasen; Use: get attention / minor apology; Example: すみません、みちをおしえてください。"
"ごめんなさい","I’m sorry","Romaji: gomen nasai; Use: apology; Example: おくれて、ごめんなさい。"
"どういたしまして","you’re welcome","Romaji: dō itashimashite; Use: reply to thanks; Example: どういたしまして。"
"はじめまして","nice to meet you","Romaji: hajimemashite; Use: first meeting; Example: はじめまして、わたしはマリアです。"
"よろしくおねがいします","please treat me well","Romaji: yoroshiku onegai shimasu; Use: closing self-intro / request; Example: これからも、よろしくおねがいします。"
"おねがいします","please (request)","Romaji: onegai shimasu; Use: ask politely; Example: メニューをみせて、おねがいします。"
"おねがいできますか","could you please…?","Romaji: onegai dekimasu ka; Use: very polite request; Example: てつだいをおねがいできますか。"
"もういちどおねがいします","one more time, please","Romaji: mō ichido onegai shimasu; Use: repetition; Example: もういちどおねがいします。"
"ゆっくりいってください","please speak slowly","Romaji: yukkuri itte kudasai; Use: listening aid; Example: にほんご、ゆっくりいってください。"
"わかります","I understand","Romaji: wakarimasu; Use: comprehension; Example: はい、わかります。"
"わかりません","I don’t understand","Romaji: wakarimasen; Use: comprehension; Example: すみません、わかりません。"
"だいじょうぶです","I’m fine / it’s okay","Romaji: daijōbu desu; Use: reassurance; Example: だいじょうぶです、きにしないでください。"
"だいじょうぶですか","are you okay?","Romaji: daijōbu desu ka; Use: check someone; Example: だいじょうぶですか。"
"しつれいします","excuse me (enter/leave)","Romaji: shitsurei shimasu; Use: entering/leaving politely; Example: しつれいします。"
"おじゃまします","sorry to intrude","Romaji: ojama shimasu; Use: entering someone’s space; Example: おじゃまします。"
"いってきます","I’m off","Romaji: itte kimasu; Use: leaving home; Example: いってきます。"
"いってらっしゃい","see you / take care","Romaji: itterasshai; Use: reply to いってきます; Example: いってらっしゃい。"
"ただいま","I’m home","Romaji: tadaima; Use: returning home; Example: ただいま。"
"おかえりなさい","welcome back","Romaji: okaeri nasai; Use: greet returnee; Example: おかえりなさい。"
"はい","yes","Romaji: hai; Use: affirmation; Example: はい、そうです。"
"いいえ","no","Romaji: iie; Use: negation; Example: いいえ、ちがいます。"
"たぶん","maybe / probably","Romaji: tabun; Use: uncertainty; Example: たぶん、あしたいきます。"
"いくらですか","how much is it?","Romaji: ikura desu ka; Use: price; Example: これはいくらですか。"
"これはなんですか","what is this?","Romaji: kore wa nan desu ka; Use: identify thing; Example: これはなんですか。"
"どこですか","where is it?","Romaji: doko desu ka; Use: location; Example: レジはどこですか。"
"トイレはどこですか","where is the restroom?","Romaji: toire wa doko desu ka; Use: location; Example: トイレはどこですか。"
"えきはどこですか","where is the station?","Romaji: eki wa doko desu ka; Use: location; Example: えきはどこですか。"
"えきへいきたいです","I want to go to the station","Romaji: eki e ikitai desu; Use: destination wish; Example: えきへいきたいです。"
"ちかいですか","is it nearby?","Romaji: chikai desu ka; Use: distance; Example: えきはちかいですか。"
"とおいですか","is it far?","Romaji: tōi desu ka; Use: distance; Example: こうえんはとおいですか。"
"まっすぐいってください","go straight, please","Romaji: massugu itte kudasai; Use: directions; Example: このみちを、まっすぐいってください。"
"みぎにまがってください","turn right, please","Romaji: migi ni magatte kudasai; Use: directions; Example: つぎのかどで、みぎにまがってください。"
"ひだりにまがってください","turn left, please","Romaji: hidari ni magatte kudasai; Use: directions; Example: コンビニで、ひだりにまがってください。"
"みちにまよいました","I got lost","Romaji: michi ni mayoimashita; Use: trouble; Example: みちにまよいました、てつだってください。"
"ちょっとまってください","please wait a moment","Romaji: chotto matte kudasai; Use: quick pause; Example: ちょっとまってください。"
"ちょっといいですか","do you have a moment?","Romaji: chotto ii desu ka; Use: get attention; Example: ちょっといいですか。"
"きいてもいいですか","may I ask?","Romaji: kiite mo ii desu ka; Use: permission to ask; Example: ひとつ、きいてもいいですか。"
"ここでたべてもいいですか","may I eat here?","Romaji: koko de tabete mo ii desu ka; Use: permission; Example: ここでたべてもいいですか。"
"しゃしんをとってもいいですか","may I take a photo?","Romaji: shashin o totte mo ii desu ka; Use: permission; Example: しゃしんをとってもいいですか。"
"てつだってください","please help me","Romaji: tetsudatte kudasai; Use: request help; Example: すみません、てつだってください。"
"たすけてください","help!","Romaji: tasukete kudasai; Use: emergency help; Example: たすけてください。"
"いりません","I don’t need it","Romaji: irimasen; Use: refusal; Example: ふくろは、いりません。"
"けっこうです","no, thank you / that’s fine","Romaji: kekkō desu; Use: polite refusal; Example: おちゃはけっこうです。"
"だめです","not allowed / no good","Romaji: dame desu; Use: prohibition; Example: ここはだめです。"
"メニューをください","menu, please","Romaji: menyū o kudasai; Use: restaurant; Example: メニューをください。"
"おすすめはなんですか","what do you recommend?","Romaji: osusume wa nan desu ka; Use: restaurant; Example: おすすめはなんですか。"
"べつべつでおねがいします","separate checks, please","Romaji: betsubetsu de onegai shimasu; Use: payment; Example: べつべつでおねがいします。"
"カードはつかえますか","do you take cards?","Romaji: kādo wa tsukaemasu ka; Use: payment; Example: カードはつかえますか。"
"みずをください","water, please","Romaji: mizu o kudasai; Use: ordering; Example: みずをください。"
"あたたかいのをください","hot one, please","Romaji: atatakai no o kudasai; Use: ordering preference; Example: コーヒー、あたたかいのをください。"
"つめたいのをください","cold one, please","Romaji: tsumetai no o kudasai; Use: ordering preference; Example: おちゃ、つめたいのをください。"
"ねつがあります","I have a fever","Romaji: netsu ga arimasu; Use: health; Example: きょうはねつがあります。"
"びょういんはどこですか","where is the hospital?","Romaji: byōin wa doko desu ka; Use: health/location; Example: びょういんはどこですか。"
"おだいじに","get well soon","Romaji: odaiji ni; Use: to a sick person; Example: おだいじに。"
"おげんきですか","how are you?","Romaji: ogenki desu ka; Use: greeting; Example: おげんきですか。"
"げんきです","I am fine","Romaji: genki desu; Use: reply; Example: はい、げんきです。"
"いまなんじですか","what time is it now?","Romaji: ima nanji desu ka; Use: time; Example: いまなんじですか。"
"じかんがありますか","do you have time?","Romaji: jikan ga arimasu ka; Use: scheduling; Example: あした、じかんがありますか。"
"にほんごでなんといいますか","how do you say it in Japanese?","Romaji: nihongo de nan to iimasu ka; Use: vocabulary; Example: これは、にほんごでなんといいますか。"
"えいごがわかりますか","do you understand English?","Romaji: eigo ga wakarimasu ka; Use: language check; Example: えいごがわかりますか。"
"もうすこしゆっくりおねがいします","a little slower, please","Romaji: mō sukoshi yukkuri onegai shimasu; Use: listening aid; Example: もうすこしゆっくりおねがいします。"
"このでんしゃはとうきょうにいきますか","does this train go to Tokyo?","Romaji: kono densha wa Tōkyō ni ikimasu ka; Use: transport; Example: このでんしゃはとうきょうにいきますか。"
